Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
PAQ72413.pod5.5mCG_5hmCG.mapped.sorted.bam	8816954	77.22	67.73	21.85	23.94	19088	10036	3301.00	7682	98.56	95.68	18.42	13.65
PAU27227.pod5.5mCG_5hmCG.mapped.sorted.bam	5356899	78.94	79.89	25.77	55.27	31705	22167	9039.00	14912	98.54	95.92	18.36	13.89
PAQ74437.pod5.5mCG_5hmCG.mapped.sorted.bam	7180347	80.99	69.89	22.55	30.30	22476	12160	4982.00	9734	98.52	95.84	18.3	13.81
PAS67834.pod5.5mCG_5hmCG.mapped.sorted.bam	8854391	77.21	65.22	21.04	22.09	20278	14780	1044.00	7366	98.62	96.60	18.6	14.69
PAU49961.pod5.5mCG_5hmCG.mapped.sorted.bam	3544776	82.04	54.19	17.48	24.02	23062	15451	13922.00	15288	98.51	95.79	18.27	13.76
PAQ74207.pod5.5mCG_5hmCG.mapped.sorted.bam	9385070	77.86	71.98	23.22	25.54	19134	10059	3261.00	7669	98.55	95.87	18.39	13.84
PAU29766.pod5.5mCG_5hmCG.mapped.sorted.bam	6106008	78.59	69.51	22.42	36.61	25742	16957	5550.00	11384	98.42	96.03	18.01	14.01
PAU31820.pod5.5mCG_5hmCG.mapped.sorted.bam	6121672	78.14	71.60	23.10	34.63	24591	17740	6397.00	11696	98.23	95.79	17.52	13.76
PAS64306.pod5.5mCG_5hmCG.mapped.sorted.bam	9951712	80.36	82.16	26.50	35.38	22367	11586	3117.00	8255	98.66	96.87	18.73	15.04
PAS65628_COL_378_FTX.pod5.5mCG_5hmCG.mapped.sorted.bam	7056819	77.82	61.92	19.97	20.90	19598	11212	4718.00	8774	98.62	96.44	18.6	14.49
PAQ74510.pod5.5mCG_5hmCG.mapped.sorted.bam	4586884	77.42	37.69	12.16	16.21	22400	11698	3061.00	8216	98.67	96.64	18.76	14.74
PAQ62087.pod5.5mCG_5hmCG.mapped.sorted.bam	3268489	78.76	34.00	10.97	9.73	18297	11648	8088.00	10403	98.56	95.62	18.42	13.59
PAQ72760.pod5.5mCG_5hmCG.mapped.sorted.bam	6614144	78.96	56.39	18.19	25.80	23657	13200	2803.00	8525	98.74	96.60	19.0	14.69
PAS39887.pod5.5mCG_5hmCG.mapped.sorted.bam	7666847	78.84	79.85	25.76	40.49	25189	16508	4186.00	10415	98.72	96.68	18.93	14.79
PAS30178.pod5.5mCG_5hmCG.mapped.sorted.bam	5005638	80.95	58.67	18.92	21.29	21545	14518	9556.00	11719	98.45	96.33	18.1	14.35
PAS62330.pod5.5mCG_5hmCG.mapped.sorted.bam	9987918	77.36	75.84	24.47	31.20	21388	9961	2897.00	7593	98.74	96.66	19.0	14.76
PAQ62696.pod5.5mCG_5hmCG.mapped.sorted.bam	6934932	79.28	54.49	17.58	21.56	20991	10909	3073.00	7857	98.54	96.01	18.36	13.99
PAS52203.pod5.5mCG_5hmCG.mapped.sorted.bam	5658120	77.09	90.26	29.12	61.23	30355	22040	12993.00	15952	98.82	96.68	19.28	14.79
PAQ69549.pod5.5mCG_5hmCG.mapped.sorted.bam	6326892	77.65	46.81	15.10	8.99	14559	8541	4648.00	7398	98.65	96.19	18.7	14.19
PAQ01402.pod5.5mCG_5hmCG.mapped.sorted.bam	8157707	78.90	85.47	27.57	43.37	25226	15060	4873.00	10477	98.43	95.43	18.04	13.4
