Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
UKBEC_010_FTX_PBC19063.sorted_meth.bam	4445931	77.52	69.40	22.39	29.77	22760	15709	14442.00	15610	99.45	97.68	22.6	16.35
UKBEC_089_FPS_PAS39769.sorted_meth.bam	2114607	75.33	33.32	10.75	17.68	25803	18199	14664.00	15755	99.20	96.54	20.97	14.61
UKBEC_056_BG_PAY67359.sorted_meth.bam	2326413	72.58	36.60	11.81	18.20	24918	16595	14259.00	15731	99.49	97.87	22.92	16.72
UKBEC_081_THAL_PAU44869.sorted_meth.bam	2786513	78.15	34.86	11.24	14.20	21706	13375	9745.00	12509	98.79	95.91	19.17	13.88
UKBEC_085_IF_PBC19715.sorted_meth.bam	7056328	75.41	114.07	36.80	67.26	27285	20061	15435.00	16166	99.44	97.69	22.52	16.36
UKBEC_007_FTX_PBC18924.sorted_meth.bam	3675272	76.66	77.05	24.85	56.60	30809	24518	23177.00	20964	99.54	97.62	23.37	16.23
UKBEC_062_IF_PAY44359.sorted_meth.bam	16292960	75.68	114.17	36.83	30.88	18890	11678	2105.00	7007	99.44	98.18	22.52	17.4
UKBEC_095_PPS_PAS46093.sorted_meth.bam	2353259	74.66	33.38	10.77	14.03	23037	16185	13337.00	14183	98.80	95.86	19.21	13.83
UKBEC_053_THAL_PBC48681.sorted_meth.bam	1551322	77.84	29.18	9.41	16.64	26830	19527	18834.00	18810	99.52	97.95	23.19	16.88
UKBEC_028_BG_PAY71550.sorted_meth.bam	3975398	76.30	63.15	20.37	30.40	24577	18302	16108.00	15886	99.46	97.86	22.68	16.7
UKBEC_093_IF_PBC41134.sorted_meth.bam	6393376	75.71	92.22	29.75	45.31	24775	17346	13312.00	14424	99.49	98.02	22.92	17.03
UKBEC_036_IF_PBA58585.sorted_meth.bam	2483376	70.40	35.81	11.55	15.98	23461	16506	14147.00	14420	99.35	97.31	21.87	15.7
UKBEC_030_IF_PBC70846.sorted_meth.bam	6994403	73.27	143.14	46.18	101.09	32164	23092	19895.00	20464	99.50	97.82	23.01	16.62
UKBEC_081_THAL_PAY45726.sorted_meth.bam	5757337	71.51	85.69	27.64	45.81	26205	16987	12746.00	14883	99.47	97.68	22.76	16.35
UKBEC_013_FTX_PAW95757.sorted_meth.bam	3482127	78.27	54.06	17.44	31.49	28398	17535	12557.00	15525	99.29	97.19	21.49	15.51
UKBEC_048_IF_PBC49903.sorted_meth.bam	59498	72.55	0.74	0.24	0.30	22318	14113	9809.00	12450	99.33	97.93	21.74	16.84
UKBEC_034_BG_PBC70794.sorted_meth.bam	8660781	75.96	147.87	47.70	88.00	26996	21200	18364.00	17073	99.47	97.41	22.76	15.87
UKBEC_038_IF_PAY46628.sorted_meth.bam	5014499	75.94	87.78	28.32	50.95	27118	19593	17275.00	17504	99.33	97.55	21.74	16.11
UKBEC_032_IF_PBA79113.sorted_meth.bam	3390998	73.74	44.36	14.31	21.33	24491	16783	11532.00	13081	99.34	97.46	21.8	15.95
UKBEC_048_IF_PBC37850.sorted_meth.bam	3782661	70.56	60.01	19.36	28.43	24304	16801	14970.00	15863	99.38	97.84	22.08	16.66
