Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
RUSH_123_FTX_PAW74757.sorted_meth.bam	6405152	82.81	107.24	34.59	52.05	24641	17544	16278.00	16742	99.19	97.35	20.92	15.77
RUSH_054_FTX_PAW63545.sorted_meth.bam	5102439	82.50	85.29	27.51	42.96	25092	18011	16373.00	16714	99.03	96.77	20.13	14.91
RUSH_096_FTX_PAO18311.sorted_meth.bam	1125046	80.09	11.66	3.76	3.77	19631	13032	9346.00	10366	98.76	95.75	19.07	13.72
RUSH_019_FTX_PAW71118.sorted_meth.bam	1264217	80.71	24.77	7.99	15.95	28620	21632	20359.00	19590	99.08	96.91	20.36	15.1
RUSH_217_FTX_PAU32213.sorted_meth.bam	6753116	79.84	37.97	12.25	7.63	14947	6940	2221.00	5622	98.42	95.64	18.01	13.61
RUSH_096_FTX_PAW63517.sorted_meth.bam	6037459	84.74	87.02	28.07	19.73	18424	13747	14089.00	14414	99.22	97.44	21.08	15.92
RUSH_273_FTX_PBA01382.sorted_meth.bam	5905032	78.29	36.29	11.71	12.95	20760	11846	1027.00	6146	98.88	97.45	19.51	15.93
RUSH_085_FTX_PAU70536.sorted_meth.bam	4337562	79.24	32.93	10.62	12.25	20755	11571	2298.00	7592	98.85	96.17	19.39	14.17
RUSH_330_FTX_PAY58076.sorted_meth.bam	6746215	81.43	134.44	43.37	82.63	27815	20736	20370.00	19928	99.46	97.92	22.68	16.82
RUSH_055_FTX_PAY88206.sorted_meth.bam	6019868	82.64	113.39	36.58	65.55	27343	19120	18001.00	18835	99.46	97.79	22.68	16.56
RUSH_020_FTX_PAQ72555.sorted_meth.bam	1827127	81.78	32.12	10.36	17.06	25845	18268	17028.00	17581	99.27	96.57	21.37	14.65
RUSH_039_FTX_PAW70945.sorted_meth.bam	4893678	82.46	90.93	29.33	50.40	26200	19995	19496.00	18581	99.18	97.14	20.86	15.44
RUSH_013_FTX_PAU43521.sorted_meth.bam	2131994	79.40	39.58	12.77	19.89	25048	19454	19625.00	18567	98.67	95.64	18.76	13.61
RUSH_075_FTX_PAO95918.sorted_meth.bam	2635839	79.23	44.42	14.33	24.78	26367	19613	16958.00	16853	98.77	95.73	19.1	13.7
RUSH_198_FTX_PAW73217.sorted_meth.bam	6300095	79.42	126.18	40.71	72.01	26528	20599	21088.00	20028	99.16	97.13	20.76	15.42
RUSH_355_FTX_PAW88713.sorted_meth.bam	6412103	82.94	114.14	36.82	56.90	24966	18122	17670.00	17800	99.47	97.94	22.76	16.86
RUSH_316_FTX_PAW95955.sorted_meth.bam	7109568	82.91	126.60	40.84	66.64	25635	18851	17975.00	17806	99.44	97.87	22.52	16.72
RUSH_220_FTX_PAW71064.sorted_meth.bam	513862	78.69	6.07	1.96	1.78	19399	12447	9847.00	11806	99.07	96.94	20.32	15.14
RUSH_183_FTX_PAW67950.sorted_meth.bam	5102661	81.05	103.32	33.33	63.05	27619	20909	20960.00	20248	99.24	97.25	21.19	15.61
RUSH_041_FTX_PAW64188.sorted_meth.bam	4916068	81.69	86.86	28.02	39.66	24075	18350	18359.00	17669	99.20	97.20	20.97	15.53
