Filename	Number of alignments	Percent of total reads	Yield (Gb)	Mean Coverage	Yield (Gb) [>25kb]	N50	N75	Median length	Mean length	Median identity	Mean identity	Median mapping Q score	Mean mapping Q score
NBB_SINAI-159_FTX_PBA58349.second_attempt.sorted_meth.bam	5484723	71.90	113.09	36.48	77.02	31472	21896	19330.00	20619	99.42	97.65	22.37	16.29
NBB_MIA-046_FTX_PBA58311.second_attempt.sorted_meth.bam	11994519	81.31	114.17	36.83	26.32	16020	10740	7830.00	9518	99.39	97.99	22.15	16.97
NBB_UMNB-110_FTX_PAY16741.second_attempt.sorted_meth.bam	7466183	73.74	113.87	36.73	38.54	21081	15270	14875.00	15251	99.39	97.45	22.15	15.93
NBB_MIA-051_FTX_PBA67008.second_attempt.sorted_meth.bam	4504301	80.59	75.43	24.33	43.36	26947	19126	15551.00	16745	99.44	97.69	22.52	16.36
NBB_MIA-031_FTX_PBA56769.second_attempt.sorted_meth.bam	8147305	75.98	127.57	41.15	64.34	25116	17099	14307.00	15658	99.44	97.89	22.52	16.76
NBB_MIA-047_FTX_PAY17066.second_attempt.sorted_meth.bam	5099889	72.02	102.07	32.93	70.03	31002	22428	19445.00	20013	99.41	97.19	22.29	15.51
NBB_HARV-012_FTX_PAW71252.second_attempt.sorted_meth.bam	6018494	68.30	93.51	30.17	53.08	27179	17691	12837.00	15537	99.14	96.82	20.66	14.98
NBB_SEP-030_FTX_PAY07431.second_attempt.sorted_meth.bam	2815132	73.69	41.56	13.41	20.53	24808	15459	12262.00	14762	99.39	97.47	22.15	15.97
NBB_MIA-039_FTX_PAY06382.second_attempt.sorted_meth.bam	6781089	70.19	112.57	36.32	65.82	27401	19093	14941.00	16601	99.51	97.91	23.1	16.8
NBB_UMNB-106_FTX_PBA64277.second_attempt.sorted_meth.bam	8514266	80.29	110.06	35.51	37.10	20543	15038	13018.00	12926	99.37	97.63	22.01	16.25
NBB_UMNB-100_FTX_PBA95782.second_attempt.sorted_meth.bam	6704305	75.77	93.18	30.06	49.64	26083	18244	12191.00	13899	99.44	97.93	22.52	16.84
NBB_UMNB-094_FTX_PBA52748.second_attempt.sorted_meth.bam	17575132	75.01	100.68	32.48	34.73	17650	7368	1900.00	5728	99.39	98.16	22.15	17.35
NBB_UMNB-091_FTX_PAY10573.second_attempt.sorted_meth.bam	6945653	70.69	37.10	11.97	16.66	22994	11171	772.00	5341	99.42	98.07	22.37	17.14
NBB_UMNB-113_FTX_PBA58827.second_attempt.sorted_meth.bam	7380954	75.61	133.06	42.92	85.62	29646	20163	15936.00	18027	99.46	97.77	22.68	16.52
NBB_SINAI-004_FTX_PAY16573.second_attempt.sorted_meth.bam	11588951	71.49	77.28	24.93	27.04	18083	8510	2562.00	6668	99.44	98.13	22.52	17.28
NBB_SINAI-058_FTX_PAY07645.second_attempt.sorted_meth.bam	5355148	70.90	104.30	33.65	64.52	28207	20695	19489.00	19476	99.39	97.15	22.15	15.45
NBB_UMNB-049_FTX_PBA63100.second_attempt.sorted_meth.bam	9963662	75.36	112.46	36.28	30.83	19315	14571	10033.00	11287	99.39	97.64	22.15	16.27
NBB_SINAI-096_FTX_PBA62798.second_attempt.sorted_meth.bam	6245160	70.93	109.19	35.22	63.96	27951	18252	15179.00	17483	99.43	97.55	22.44	16.11
NBB_SINAI-068_FTX_PAW88662.second_attempt.sorted_meth.bam	6931003	73.97	93.17	30.06	41.48	23031	13872	10703.00	13443	99.31	97.50	21.61	16.02
NBB_SINAI-047_FTX_PAY16658.second_attempt.sorted_meth.bam	8440402	72.79	97.31	31.39	39.64	21642	12662	8776.00	11528	99.44	98.06	22.52	17.12
